Índice;Produto;Setor;Preço
57;Água;Bebidas;3.8
58;Arroz;Grãos;20.19
59;Azeite;Grãos;25.7
60;Bolachas E Biscoitos;Alimento;2.1
61;Café;Bebidas;11.29
62;Chá;Bebidas;4.05
63;Milho;Grãos;2.15
64;Ervilha;Grãos;2.61
65;Extrato De Tomate;Molho;3.79
66;Farinha;Farinhas;3.29
67;Farofa;Farinhas;8.82
68;Feijão;Grãos;7.49
69;Leite;Bebidas;3.07
70;Macarrão;Macarrão;4.67
71;Maionese;Molhos;7.19
72;Óleo;Óleos;7.59
73;Tempero Pronto;Tempero;9.59
74;Batata Palito;Alimentos congelados;21.9
75;Frango;Alimentos congelados;12.59
76;Hambúrguer;Alimentos congelados;18.57
77;Lasanha;Alimentos congelados;12.98
78;Linguiça;Alimentos congelados;17.99
79;Pão De Queijo;Alimentos congelados;27.98
80;Petiscos;Alimentos congelados;14.5
81;Pizza;Alimentos congelados;18.87
82;Pratos Prontos;Alimentos congelados;22.55
83;Banana;Frutas;4.99
84;Salsicha Vegana;Alimentos congelados;25.9
85;Vegetais congelados;Vegetais;20.09
86;Abacate;Frutas;14.99
87;Melancia;Frutas;16.91
88;Abacaxi;Frutas;7.99
89;Mamão;Frutas;6.49
90;Manga;Frutas;2
91;Maçã;Frutas;6.99
92;Batata;Frutas;5.99
93;Cenoura;Vegetais;1.49
94;Tomate;Vegetais;9.51
95;Pimentão;Vegetais;14.99
96;Beterraba;Vegetais;4.65
97;Pepino;Vegetais;4.37
98;Polpas De Frutas Congeladas;Sucos;2.7
99;Alho;Tempero;4.99
100;Cebola;Tempero;8.01
101;Cebolinha;Tempero;2.99
102;Salsa;Tempero;2.49
103;Coentro;Tempero;3.03
104;Couve;Vegetais;3.79
105;Alface;Vegetais;2.99
106;Rúcula;Vegetais;4.59
107;Couve-Flor;Vegetais;6.98
108;Repolho;Vegetais;5.99
109;Achocolatados;Bebidas;6.49
110;Cerveja;Bebidas;3.99
111;Energético;Bebidas;6.98
112;Refrigerante;Bebidas;5.44
113;Suco;Bebidas;4.25
114;Vinho;Bebidas;46.78
115;Vitamina;Bebidas;20
116;Vodka;Bebidas;30
117;Biscoito;Biscoitos;2.45
118;Bisnaguinha;Pães;5.79
119;Broinha De Milho;Pães;6.59
120;Pão De Cachorro-Quente;Pães;4.99
121;Pão De Forma;Pães;5.89
122;Pão De Hambúrguer;Pães;10.49
123;Absorvente;Higiene;3.69
124;Algodão;Higiene;3
125;Condicionador;Higiene;9.6
126;Cotonete;Higiene;6.36
127;Escova De Dentes;Higiene;19.9
128;Hidratantes;Higiene;49.9
129;Lâmina De Barbear;Higiene;29.9
130;Papel Higiênico;Higiene;32.15
131;Pasta De Dente;Higiene;3.2
132;Sabonetes;Higiene;3.45
133;Shampoo;Higiene;35.79
134;Água Sanitária;Limpeza;3.19
135;Alvejante;Limpeza;11.99
136;Amaciante;Limpeza;14.29
137;Desinfetante;Limpeza;5.45
138;Detergente;Limpeza;1.69
139;Escovinhas;Limpeza;10
140;Esponja De Aço;Limpeza;1.27
141;Luvas De Borracha;Limpeza;3.94
142;Pá;Limpeza;9.6
143;Pano De Chão;Limpeza;26.89
144;Pano De Prato;Limpeza;3.79
145;Rodo;Limpeza;8.9
146;Sabão Em Barra;Limpeza;2.5
147;Sabão Em Pó;Limpeza;8.19
148;Vassoura;Limpeza;12.35
